approval_threshold,approved_count,rejected_count,approval_rate,observed_default_rate,good_count,default_count,simulated_profit,probability_based_expected_profit,average_profit_per_approved
0.05,30041,7251,0.8055615145339483,0.02363436636596651,29331,710,24361000,22258787.904698096,810.9250690722679
0.1,33597,3695,0.9009170867746433,0.03434830490817632,32443,1154,24365000,23911426.83422772,725.2135607345894
0.15,34530,2762,0.9259358575565805,0.039009556907037356,33183,1347,23754000,23934834.57279961,687.9235447437011
0.2,35001,2291,0.9385659122600022,0.04174166452387074,33540,1461,23313000,23754651.270558774,666.066683809034
